MMSI,DateTime,# Timestamp,Latitude,Longitude,SOG,Heading,Ship type,DateDiff,distance,dLat/dt,dLong/dt
219021240.0,2021-12-13 02:23:59,2021-12-13 02:24:00,55.2274,14.2506,5.9,216.0,11,60,180.17895926414607,-0.0012000000000043087,-0.001900000000000901
219021240.0,2021-12-13 02:24:59,2021-12-13 02:25:00,55.2262,14.2487,6.0,216.0,11,60,184.56858690621314,-0.001300000000000523,-0.0017999999999993577
219021240.0,2021-12-13 02:25:59,2021-12-13 02:26:00,55.2249,14.2469,6.1,217.0,11,60,180.18400548735065,-0.0011999999999972033,-0.001900000000000901
219021240.0,2021-12-13 02:26:59,2021-12-13 02:27:00,55.2237,14.245,6.0,217.0,11,0,,0.0,0.0
232018267.0,2021-12-13 01:50:58,2021-12-13 01:51:00,55.3058,14.3887,11.9,219.0,2,61,377.65824147912883,-0.002655737704915338,-0.003540983606557861
232018267.0,2021-12-13 01:51:59,2021-12-13 01:52:00,55.3031,14.3851,11.9,220.0,2,60,368.86817550139097,-0.002600000000001046,-0.0035999999999987153
232018267.0,2021-12-13 01:52:59,2021-12-13 01:53:00,55.3005,14.3815,11.9,220.0,2,60,368.87734678345214,-0.002600000000001046,-0.0036000000000004917
232018267.0,2021-12-13 01:53:59,2021-12-13 01:54:00,55.2979,14.3779,12.0,219.0,2,60,377.6854361800685,-0.00269999999999726,-0.0036000000000004917
232018267.0,2021-12-13 01:54:59,2021-12-13 01:55:00,55.2952,14.3743,12.0,220.0,2,60,360.2265299368043,-0.0024999999999977263,-0.0036000000000004917
232018267.0,2021-12-13 01:55:59,2021-12-13 01:56:00,55.2927,14.3707,12.0,219.0,2,60,373.89068552797676,-0.0027000000000043656,-0.0034999999999989484
232018267.0,2021-12-13 01:56:59,2021-12-13 01:57:00,55.29,14.3672,12.0,220.0,2,59,368.9143854606221,-0.002644067796611233,-0.0036610169491530426
232018267.0,2021-12-13 01:57:58,2021-12-13 01:58:00,55.2874,14.3636,12.1,220.0,2,60,377.72158229290983,-0.00269999999999726,-0.0036000000000004917
232018267.0,2021-12-13 01:58:58,2021-12-13 01:59:00,55.2847,14.36,12.1,220.0,2,60,368.9330816644288,-0.002600000000001046,-0.0035999999999987153
232018267.0,2021-12-13 01:59:58,2021-12-13 02:00:00,55.2821,14.3564,12.1,219.0,2,60,381.6218473793044,-0.00269999999999726,-0.0037000000000002586
232018267.0,2021-12-13 02:00:58,2021-12-13 02:01:00,55.2794,14.3527,12.1,220.0,2,60,368.95177819899425,-0.002600000000001046,-0.0036000000000004917
232018267.0,2021-12-13 02:01:58,2021-12-13 02:02:00,55.2768,14.3491,12.1,220.0,2,61,377.75807410785524,-0.002655737704922327,-0.003540983606557861
232018267.0,2021-12-13 02:02:59,2021-12-13 02:03:00,55.2741,14.3455,12.1,220.0,2,60,381.6506617197516,-0.00269999999999726,-0.0037000000000002586
232018267.0,2021-12-13 02:03:59,2021-12-13 02:04:00,55.2714,14.3418,12.1,220.0,2,60,372.955326150534,-0.002600000000001046,-0.0036999999999984823
232018267.0,2021-12-13 02:04:59,2021-12-13 02:05:00,55.2688,14.3381,12.1,219.0,2,60,377.7856160587178,-0.00269999999999726,-0.0036000000000004917
232018267.0,2021-12-13 02:05:59,2021-12-13 02:06:00,55.2661,14.3345,12.1,220.0,2,60,372.9748771946746,-0.002600000000001046,-0.0037000000000002586
232018267.0,2021-12-13 02:06:59,2021-12-13 02:07:00,55.2635,14.3308,12.1,220.0,2,60,369.0078697653319,-0.002600000000001046,-0.0036000000000004917
232018267.0,2021-12-13 02:07:59,2021-12-13 02:08:00,55.2609,14.3272,12.0,220.0,2,59,369.0170422502966,-0.002644067796611233,-0.003661016949151236
232018267.0,2021-12-13 02:08:58,2021-12-13 02:09:00,55.2583,14.3236,12.0,220.0,2,60,360.35994072508083,-0.0024999999999977263,-0.0036000000000004917
232018267.0,2021-12-13 02:09:58,2021-12-13 02:10:00,55.2558,14.32,12.0,220.0,2,60,381.7165774897541,-0.00269999999999726,-0.0037000000000002586
232018267.0,2021-12-13 02:10:58,2021-12-13 02:11:00,55.2531,14.3163,12.0,220.0,2,60,369.0445601770836,-0.002600000000001046,-0.0036000000000004917
232018267.0,2021-12-13 02:11:58,2021-12-13 02:12:00,55.2505,14.3127,12.0,220.0,2,60,369.0537329751119,-0.002600000000001046,-0.0035999999999987153
232018267.0,2021-12-13 02:12:58,2021-12-13 02:13:00,55.2479,14.3091,12.0,220.0,2,60,369.0629058522029,-0.002600000000001046,-0.0036000000000004917
232018267.0,2021-12-13 02:13:58,2021-12-13 02:14:00,55.2453,14.3055,12.0,220.0,2,60,373.0516087781377,-0.002600000000001046,-0.0037000000000002586
232018267.0,2021-12-13 02:14:58,2021-12-13 02:15:00,55.2427,14.3018,12.0,220.0,2,60,373.06120055602685,-0.002600000000001046,-0.0037000000000002586
232018267.0,2021-12-13 02:15:58,2021-12-13 02:16:00,55.2401,14.2981,12.0,220.0,2,60,373.07079240824123,-0.002600000000001046,-0.0037000000000002586
232018267.0,2021-12-13 02:16:58,2021-12-13 02:17:00,55.2375,14.2944,12.0,220.0,2,60,364.5105605447513,-0.0024999999999977263,-0.0037000000000002586
232018267.0,2021-12-13 02:17:58,2021-12-13 02:18:00,55.235,14.2907,12.0,219.0,2,60,373.08960740643585,-0.002600000000001046,-0.0036999999999984823
232018267.0,2021-12-13 02:18:58,2021-12-13 02:19:00,55.2324,14.287,12.0,220.0,2,60,373.09919947367194,-0.002600000000001046,-0.0037000000000002586
232018267.0,2021-12-13 02:19:58,2021-12-13 02:20:00,55.2298,14.2833,12.0,220.0,2,60,369.1267653394157,-0.0025999999999939405,-0.0036000000000004917
